大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値,limited,季節のおすすめ,timestamp
ビバレッジ,フラペチーノ®,ほうじ茶 もちっと ミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556560/4524785556560_11_s.jpg,image_f6cb25d5-d88d-4f1f-9fa8-0f27becdc144.png,https://menu.starbucks.co.jp/4524785556560,382.0,4.8,20.6,44.9,0.4,1.1,43.8,164.0,202.0,0.2,10.8,28.0,,0.012565445026178,0.0028795811518324,0.4293193717277487,0.5287958115183246,0.0539267015706806,0.0010471204188481,0.1146596858638743,0.000523560209424,0.0282722513089005,0.0732984293193717,44.2,46.5,45.2,45.7,56.4,46.9,48.1,52.0,59.9,45.4,52.66,False,True,2023-12-29
ビバレッジ,エスプレッソ,ジンジャーブレッド ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785033153/4524785033153_11_s.jpg,image_d397efa3-3550-44d9-8667-2e524a938dcd.png,https://menu.starbucks.co.jp/4524785033153,320.0,11.4,16.3,32.1,0.3,0.4,31.8,138.0,592.0,0.3,9.9,80.0,,0.035625,0.00125,0.43125,1.85,0.0509375,0.0009375,0.099375,0.0009375,0.0309375,0.25,52.8,45.2,45.3,47.6,55.1,46.6,45.3,60.9,62.3,47.725,54.04,False,True,2023-12-29
ビバレッジ,ティー｜TEAVANA™,ほうじ茶 まろやか キャラメル ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556607/4524785556607_11_s.jpg,image_00a66856-7b49-476e-aa8d-4ce8ba0e720f.png,https://menu.starbucks.co.jp/4524785556607,367.0,13.3,18.3,38.1,0.4,1.0,37.1,184.0,586.0,0.4,11.1,37.0,,0.0362397820163487,0.0027247956403269,0.5013623978201635,1.5967302452316077,0.0498637602179836,0.0010899182561307,0.1010899182561308,0.0010899182561307,0.0302452316076294,0.1008174386920981,53.0,46.3,46.2,47.2,54.6,47.1,45.6,64.1,61.7,48.175,54.62,False,True,2023-12-29
フード,デザート,チョコレートクランブル ムースケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553378/4524785553378_11_s.jpg,image_35653eb4-b6e7-408c-bd73-4f27d6824e66.png,https://menu.starbucks.co.jp/4524785553378,371.0,4.2,23.6,36.4,0.1,2.1,34.3,24.0,192.0,0.1,11.8,,なし,0.0113207547169811,0.0056603773584905,0.0646900269541779,0.5175202156334232,0.0636118598382749,0.0002695417789757,0.0924528301886792,0.0002695417789757,0.0318059299191374,,43.8,48.7,40.4,45.6,60.5,44.5,44.0,46.5,63.1,44.625,51.72,False,True,2023-12-29
フード,ペストリー,マロンパウンドケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546721/4524785546721_11_s.jpg,image_4f01ee4b-b2c5-4428-a8cd-d06c7ec07d4d.png,https://menu.starbucks.co.jp/4524785546721,309.0,3.5,18.0,33.6,0.1,0.9,32.7,45.0,76.0,0.1,7.3,,なし,0.0113268608414239,0.0029126213592233,0.145631067961165,0.2459546925566343,0.058252427184466,0.0003236245954692,0.1058252427184466,0.0003236245954692,0.0236245954692556,,43.8,46.5,41.5,45.2,58.2,44.7,46.5,47.7,55.8,44.25,50.58,False,True,2023-12-29
フード,サンドイッチ,バジルチキン＆トマトモッツァレラ 石窯フィローネ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785552524/4524785552524_11_s.jpg,image_e7f06697-6681-4f07-aa3c-61434ceb59a8.png,https://menu.starbucks.co.jp/4524785552524,319.0,18.9,8.5,43.6,2.0,3.9,39.7,785.0,308.0,0.0,2.4,,なし,0.0592476489028213,0.0122257053291536,2.4608150470219434,0.9655172413793104,0.0266457680250783,0.006269592476489,0.1244514106583072,0.0,0.0075235109717868,,61.5,53.9,72.1,46.3,44.7,63.2,50.0,40.7,41.3,58.45,47.98,False,True,2023-12-29
ビバレッジ,フラペチーノ®,ジョイフルメドレー ティー  ラテ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785526518/4524785526518_11_s.jpg,image_00919c9f-3ed3-4290-895f-50685078383b.png,https://menu.starbucks.co.jp/4524785526518,284.0,2.5,6.2,55.5,0.1,,,,,,,,,0.0088028169014084,,,,0.0218309859154929,0.0003521126760563,,,,,43.1,50.0,50.0,50.0,42.1,44.7,50.0,50.0,50.0,48.275,47.36,True,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,ソイ チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785514560/4524785514560_11_s.jpg,image_b6638af5-1939-4b04-87bc-d0a07a97cfcd.png,https://menu.starbucks.co.jp/4524785514560,212.0,6.4,7.5,30.2,0.4,0.5,29.7,120.0,345.0,0.0,1.1,53.0,,0.030188679245283,0.0023584905660377,0.5660377358490566,1.6273584905660377,0.035377358490566,0.0018867924528301,0.1400943396226415,0.0,0.005188679245283,0.25,51.2,45.8,47.2,47.5,48.0,49.6,53.2,41.1,38.7,47.925,46.12,False,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー フルリーフ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785557222/4524785557222_11_s.jpg,image_734c0690-d0e0-46c6-ad6d-e071c49ab002.png,https://menu.starbucks.co.jp/4524785557222,20.0,1.0,1.0,5.0,0.01,,,,,,,,,0.05,,,,0.05,0.0005,,,,,58.7,50.0,50.0,50.0,54.4,45.2,50.0,50.0,50.0,52.175,49.92,True,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー アプリコット ＆ ムース ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785484887/4524785484887_11_s.jpg,image_5dea5ec9-d224-4798-9689-06bd3e490663.png,https://menu.starbucks.co.jp/4524785484887,211.0,3.9,8.5,31.3,0.1,,,,,,,,,0.0184834123222748,,,,0.0402843601895734,0.000473933649289,,,,,46.7,50.0,50.0,50.0,50.1,45.1,50.0,50.0,50.0,49.175,49.04,True,False,2023-12-29
